 ,X,Y,Slice
1,66.000,1302.000,27
2,785.500,1244.500,32
3,1817.500,1292.500,40
4,146.500,947.500,49
5,923.500,923.500,51
6,1850.500,950.500,58
7,161.500,701.500,55
8,914.500,734.500,56
9,1856.500,800.500,58
10,1922.500,665.500,55
11,1082.500,593.500,55
12,62.500,599.500,55
13,75.000,1116.000,17
14,1034.500,1064.500,17
15,1967.500,1157.500,17
16,1979.500,821.500,33
17,1970.500,683.500,38
18,1127.500,779.500,39
19,1997.500,533.500,41
20,1127.500,506.500,50
21,1058.500,650.500,51
22,122.500,836.500,45
23,113.500,698.500,57
24,113.500,554.500,60
