 ,X,Y,Slice
1,90.000,1395.000,32
2,917.500,1343.500,32
3,1862.500,1370.500,32
4,236.500,1142.500,29
5,1043.500,1085.500,32
6,1865.500,1079.500,42
7,143.500,1013.500,35
8,1037.500,953.500,36
9,1766.500,956.500,44
10,1772.500,836.500,45
11,815.500,836.500,36
12,119.500,872.500,31
13,792.000,1236.000,44
14,155.500,1247.500,49
15,1700.500,1313.500,50
16,134.500,1016.500,49
17,1076.500,1037.500,49
18,1925.500,1100.500,46
19,191.500,923.500,49
20,1013.500,905.500,49
21,1961.500,1001.500,48
22,98.500,857.500,45
23,845.500,803.500,45
24,1910.500,911.500,43
25,69.000,1197.000,3
26,566.500,1292.500,3
27,1817.500,1055.500,19
28,74.500,827.500,3
29,677.500,920.500,3
30,1277.500,1004.500,3
31,1862.500,881.500,3
32,443.500,680.500,3
33,92.500,686.500,3
34,86.500,521.500,3
35,713.500,509.500,3
36,1916.500,749.500,3
37,96.000,1212.000,8
38,1055.500,1157.500,8
39,1919.500,1268.500,8
40,65.500,740.500,14
41,998.500,659.500,14
42,1943.500,749.500,14
43,1976.500,956.500,18
44,917.500,845.500,18
45,92.500,902.500,18
46,101.500,551.500,13
47,1004.500,509.500,13
48,1988.500,632.500,13
49,1938.000,1245.000,14
50,1178.500,1187.500,26
51,128.500,1076.500,64
52,1982.500,929.500,54
53,1913.500,773.500,57
54,1865.500,584.500,55
55,1085.500,536.500,68
56,1121.500,728.500,77
57,1184.500,857.500,83
58,158.500,416.500,83
59,176.500,596.500,83
60,158.500,920.500,83
61,57.000,1200.000,12
62,1199.500,1136.500,12
63,1988.500,1133.500,12
64,56.500,557.500,15
65,899.500,497.500,15
66,1916.500,533.500,15
67,2006.500,704.500,20
68,1016.500,683.500,20
69,107.500,773.500,20
70,1976.500,815.500,37
71,1091.500,806.500,37
72,41.500,875.500,37
73,1965.000,1212.000,33
74,1163.500,1103.500,33
75,32.500,1193.500,33
76,101.500,938.500,24
77,911.500,881.500,29
78,1904.500,950.500,36
79,1868.500,797.500,38
80,992.500,737.500,30
81,107.500,818.500,25
82,173.500,722.500,20
83,1127.500,647.500,16
84,1964.500,722.500,25
