 ,X,Y,Slice
1,33.000,1488.000,16
2,1055.500,1454.500,16
3,1943.500,1433.500,16
4,95.500,251.500,19
5,1010.500,161.500,19
6,1934.500,68.500,24
7,911.500,284.500,20
8,95.500,344.500,22
9,1943.500,197.500,22
10,116.500,644.500,20
11,1208.500,572.500,20
12,1997.500,482.500,20
13,57.000,1335.000,9
14,725.500,1220.500,9
15,1973.500,1319.500,9
16,161.500,629.500,8
17,74.500,758.500,9
18,1037.500,551.500,12
19,1994.500,620.500,14
20,1985.500,785.500,20
21,140.500,962.500,20
22,1157.500,896.500,23
23,1943.500,935.500,25
24,1112.500,710.500,21
25,1980.000,1347.000,40
26,1061.500,1295.500,38
27,155.500,1334.500,34
28,134.500,638.500,51
29,1832.500,653.500,58
30,68.500,1028.500,61
31,1097.500,515.500,65
32,74.500,803.500,65
33,1142.500,932.500,70
34,1163.500,725.500,75
35,1934.500,806.500,78
36,1994.500,1034.500,82
37,66.000,1344.000,10
38,1046.500,1292.500,10
39,1964.500,1346.500,10
40,1940.500,962.500,27
41,1919.500,791.500,29
42,1979.500,647.500,31
43,1115.500,575.500,33
44,1064.500,719.500,33
45,1061.500,953.500,33
46,203.500,917.500,41
47,143.500,755.500,41
48,107.500,530.500,41
49,1989.000,1281.000,8
50,1100.500,1079.500,11
51,95.500,1154.500,13
52,1988.500,620.500,12
53,1988.500,749.500,13
54,1982.500,929.500,14
55,1028.500,497.500,14
56,1106.500,629.500,16
57,1079.500,785.500,18
58,95.500,503.500,21
59,149.500,638.500,25
60,131.500,782.500,32
61,66.000,1131.000,41
62,1274.500,1169.500,41
63,1979.500,1208.500,41
64,101.500,917.500,41
65,1112.500,887.500,41
66,1940.500,956.500,39
67,122.500,818.500,37
68,1187.500,794.500,36
69,1877.500,836.500,33
70,215.500,692.500,30
71,1109.500,692.500,26
72,1934.500,734.500,22
