 ,X,Y,Slice
1,1923.000,1293.000,9
2,986.500,1244.500,9
3,71.500,1289.500,9
4,1802.500,635.500,9
5,722.500,593.500,9
6,35.500,701.500,9
7,1862.500,818.500,14
8,962.500,788.500,14
9,185.500,833.500,17
10,1886.500,989.500,20
11,1007.500,914.500,20
12,227.500,965.500,24
13,2001.000,1131.000,166
14,938.500,1121.500,166
15,26.500,1136.500,166
16,1934.500,884.500,117
17,971.500,860.500,117
18,68.500,902.500,117
19,1919.500,752.500,99
20,971.500,704.500,99
21,38.500,764.500,99
22,1961.500,641.500,94
23,977.500,629.500,94
24,83.500,626.500,94
25,45.000,1320.000,9
26,920.500,1235.500,9
27,1937.500,1352.500,9
28,98.500,968.500,16
29,1022.500,923.500,16
30,1871.500,983.500,16
31,1883.500,824.500,23
32,1151.500,785.500,23
33,164.500,788.500,23
34,134.500,629.500,26
35,971.500,623.500,26
36,1883.500,608.500,26
