 ,X,Y,Slice
1,1830.000,1272.000,2
2,1031.500,1202.500,5
3,194.500,1226.500,7
4,1889.500,1013.500,20
5,1076.500,926.500,25
6,95.500,917.500,32
7,1961.500,899.500,32
8,1094.500,779.500,32
9,86.500,806.500,32
10,1943.500,818.500,33
11,932.500,692.500,32
12,50.500,722.500,35
13,45.000,1062.000,28
14,977.500,1037.500,28
15,1967.500,1097.500,28
16,1952.500,596.500,67
17,932.500,608.500,67
18,65.500,620.500,67
19,1967.500,728.500,77
20,998.500,704.500,77
21,56.500,767.500,77
22,1991.500,842.500,77
23,932.500,818.500,77
24,62.500,842.500,77
25,81.000,1380.000,54
26,1061.500,1289.500,62
27,1871.500,1316.500,77
28,1919.500,980.500,69
29,1859.500,872.500,69
30,1817.500,689.500,69
31,1043.500,971.500,40
32,1076.500,809.500,37
33,1073.500,716.500,31
34,17.500,1076.500,28
35,101.500,863.500,26
36,41.500,743.500,19
37,1995.000,1101.000,76
38,1607.500,620.500,76
39,1184.500,113.500,76
40,2003.500,920.500,76
41,1721.500,569.500,76
42,1292.500,134.500,76
43,1997.500,788.500,76
44,1622.500,320.500,76
45,1406.500,89.500,76
46,2009.500,1571.500,117
47,1427.500,827.500,117
48,740.500,113.500,117
49,1983.000,1371.000,8
50,1130.500,1322.500,8
51,29.500,1367.500,8
52,74.500,983.500,8
53,1040.500,959.500,8
54,1931.500,959.500,8
55,1997.500,773.500,8
56,1097.500,776.500,8
57,89.500,797.500,8
58,62.500,641.500,8
59,1007.500,629.500,8
60,1925.500,632.500,8
61,63.000,1278.000,21
62,998.500,1292.500,19
63,1877.500,1256.500,21
64,1967.500,959.500,66
65,995.500,905.500,66
66,110.500,941.500,66
67,1943.500,803.500,94
68,1004.500,719.500,94
69,185.500,776.500,94
70,1934.500,641.500,99
71,1067.500,545.500,99
72,287.500,665.500,99
73,1071.000,1098.000,29
74,143.500,1166.500,20
75,1871.500,1145.500,18
76,1031.500,803.500,34
77,1910.500,866.500,40
78,230.500,905.500,44
79,1055.500,671.500,44
80,1829.500,716.500,48
81,197.500,737.500,51
82,977.500,524.500,51
83,1919.500,566.500,57
84,158.500,608.500,64
85,1998.000,1131.000,8
86,1046.500,1112.500,8
87,137.500,1118.500,8
88,1898.500,839.500,14
89,1853.500,668.500,14
90,1814.500,503.500,14
91,1043.500,779.500,27
92,998.500,638.500,27
93,989.500,455.500,27
94,74.500,521.500,39
95,95.500,647.500,41
96,80.500,830.500,42
97,2022.000,1311.000,126
98,1037.500,1292.500,126
99,17.500,1421.500,126
100,98.500,1226.500,82
101,920.500,1139.500,82
102,1928.500,1097.500,82
103,1916.500,992.500,62
104,896.500,1004.500,62
105,125.500,1130.500,62
106,77.500,1019.500,40
107,1073.500,881.500,40
108,1937.500,887.500,40
