 ,X,Y,Slice
1,33.000,1371.000,9
2,1106.500,1337.500,9
3,1970.500,1499.500,9
4,35.500,971.500,8
5,1115.500,962.500,8
6,2009.500,1094.500,8
7,2015.500,878.500,8
8,1016.500,764.500,8
9,92.500,782.500,8
10,38.500,653.500,8
11,1055.500,611.500,8
12,1997.500,680.500,8
13,1992.000,1386.000,27
14,986.500,1301.500,30
15,65.500,1343.500,34
16,2030.500,1076.500,38
17,1103.500,953.500,45
18,2006.500,902.500,44
19,1979.500,761.500,46
20,1061.500,815.500,58
21,80.500,1010.500,57
22,1103.500,692.500,64
23,41.500,746.500,80
24,53.500,860.500,70
25,1002.000,1122.000,15
26,47.500,1184.500,15
27,1985.500,1172.500,15
28,1976.500,917.500,13
29,1181.500,872.500,13
30,71.500,866.500,13
31,2012.500,737.500,13
32,1082.500,692.500,13
33,101.500,689.500,13
34,2000.500,560.500,13
35,1028.500,524.500,13
36,53.500,548.500,13
37,1995.000,1389.000,14
38,1022.500,1289.500,19
39,65.500,1325.500,30
40,1937.500,1073.500,25
41,1019.500,1025.500,36
42,26.500,1037.500,42
43,1967.500,917.500,36
44,1121.500,848.500,42
45,95.500,875.500,49
46,1823.500,767.500,39
47,1064.500,704.500,46
48,41.500,749.500,50
49,69.000,1272.000,11
50,1034.500,1193.500,12
51,1937.500,1217.500,13
52,83.500,689.500,31
53,44.500,806.500,36
54,23.500,968.500,42
55,1058.500,857.500,57
56,1097.500,704.500,64
57,1187.500,575.500,67
58,1958.500,923.500,68
59,1988.500,797.500,75
60,1919.500,611.500,69
61,111.000,1440.000,20
62,962.500,1322.500,28
63,1952.500,1469.500,24
64,1922.500,1085.500,37
65,1205.500,953.500,39
66,290.500,965.500,47
67,1871.500,863.500,35
68,1028.500,749.500,24
69,212.500,803.500,22
70,1808.500,644.500,28
71,887.500,587.500,15
72,155.500,563.500,9
73,1965.000,1305.000,34
74,1010.500,1217.500,28
75,71.500,1346.500,16
76,266.500,683.500,7
77,284.500,995.500,8
78,353.500,833.500,9
79,1037.500,638.500,36
80,1079.500,752.500,40
81,1118.500,941.500,41
82,1985.500,719.500,53
83,1973.500,1004.500,58
84,1925.500,857.500,60
