 ,X,Y,Slice
1,252.000,1242.000,43
2,947.500,1142.500,32
3,1817.500,1370.500,4
4,1715.500,974.500,7
5,1238.500,704.500,51
6,131.500,803.500,70
7,134.500,650.500,76
8,185.500,485.500,86
9,1094.500,644.500,86
10,737.500,416.500,97
11,1886.500,494.500,50
12,1904.500,680.500,50
13,54.000,1284.000,8
14,956.500,1157.500,8
15,1976.500,1190.500,8
16,71.500,944.500,8
17,995.500,872.500,8
18,1934.500,896.500,8
19,86.500,806.500,10
20,929.500,716.500,10
21,1898.500,734.500,10
22,1898.500,605.500,10
23,1025.500,602.500,10
24,119.500,647.500,10
25,1851.000,1386.000,29
26,947.500,1328.500,29
27,149.500,1337.500,37
28,89.500,1082.500,72
29,1058.500,1010.500,72
30,1871.500,1010.500,68
31,956.500,857.500,63
32,1820.500,842.500,58
33,227.500,848.500,73
34,128.500,677.500,78
35,1049.500,677.500,73
36,1841.500,725.500,62
37,75.000,1419.000,21
38,878.500,1379.500,21
39,1928.500,1406.500,21
40,1928.500,1091.500,26
41,941.500,1079.500,26
42,107.500,1085.500,26
43,1862.500,977.500,27
44,995.500,902.500,27
45,140.500,953.500,27
46,1886.500,869.500,27
47,1067.500,803.500,27
48,182.500,782.500,27
