 ,X,Y,Slice
1,180.000,1020.000,32
2,956.500,1031.500,16
3,1925.500,1091.500,10
4,1919.500,572.500,11
5,1919.500,776.500,14
6,1892.500,425.500,18
7,158.500,698.500,60
8,128.500,503.500,45
9,86.500,362.500,30
10,1091.500,368.500,25
11,1094.500,515.500,25
12,1118.500,686.500,25
13,21.000,1182.000,13
14,800.500,1067.500,13
15,1988.500,1169.500,13
16,1994.500,578.500,13
17,1175.500,488.500,13
18,77.500,581.500,13
19,50.500,698.500,13
20,1193.500,593.500,13
21,2015.500,704.500,13
22,1997.500,836.500,15
23,1034.500,770.500,15
24,50.500,851.500,15
25,1842.000,1194.000,25
26,1184.500,1127.500,32
27,323.500,1178.500,55
28,1961.500,674.500,67
29,1964.500,962.500,72
30,1928.500,821.500,74
31,1115.500,557.500,72
32,1148.500,719.500,84
33,1076.500,872.500,88
34,65.500,683.500,94
35,83.500,785.500,103
36,74.500,941.500,109
37,1842.000,1290.000,47
38,1043.500,1178.500,38
39,116.500,1214.500,27
40,65.500,941.500,75
41,47.500,653.500,82
42,140.500,803.500,82
43,1100.500,917.500,81
44,1073.500,620.500,88
45,1961.500,1016.500,88
46,1124.500,755.500,91
47,1976.500,683.500,94
48,2000.500,836.500,96
49,120.000,1218.000,22
50,1133.500,1181.500,24
51,1985.500,1214.500,33
52,95.500,938.500,63
53,1124.500,884.500,70
54,101.500,785.500,70
55,158.500,650.500,74
56,2006.500,947.500,76
57,1115.500,596.500,80
58,1157.500,731.500,78
59,1997.500,644.500,80
60,2009.500,770.500,80
61,54.000,1164.000,13
62,980.500,1091.500,13
63,2000.500,1202.500,13
64,62.500,917.500,45
65,917.500,824.500,45
66,1985.500,926.500,45
67,47.500,767.500,41
68,722.500,674.500,41
69,1916.500,812.500,41
70,71.500,569.500,31
71,860.500,545.500,31
72,1919.500,566.500,31
