 ,X,Y,Slice
1,45.000,1347.000,12
2,1064.500,1352.500,12
3,1952.500,1388.500,12
4,32.500,1022.500,14
5,104.500,839.500,13
6,56.500,716.500,13
7,1043.500,689.500,14
8,1976.500,788.500,17
9,1919.500,920.500,19
10,1940.500,1067.500,29
11,917.500,1010.500,22
12,1007.500,824.500,19
