 ,X,Y,Slice
1,87.000,1323.000,22
2,1052.500,1220.500,25
3,1919.500,1253.500,26
4,89.500,971.500,70
5,137.500,1067.500,70
6,140.500,872.500,79
7,1004.500,1025.500,82
8,875.500,875.500,82
9,1892.500,818.500,91
10,1898.500,989.500,89
11,1916.500,1091.500,85
12,1013.500,779.500,100
13,1851.000,1188.000,26
14,1064.500,1106.500,31
15,188.500,1163.500,46
16,1802.500,596.500,13
17,1880.500,812.500,16
18,1859.500,422.500,20
19,1118.500,389.500,26
20,1094.500,569.500,22
21,1115.500,746.500,23
22,158.500,548.500,44
23,272.500,365.500,44
24,290.500,743.500,44
25,972.000,1293.000,54
26,1769.588,1292.861,55
27,132.043,1346.306,58
28,129.905,1029.913,88
29,985.020,927.300,81
30,1692.627,923.024,75
31,102.114,848.201,83
32,801.170,796.895,78
33,1626.356,775.517,73
34,161.972,709.245,66
35,923.024,595.943,63
36,1951.300,732.761,60
37,1947.000,1260.000,13
38,1082.500,1232.500,18
39,122.500,1274.500,20
40,146.500,914.500,41
41,1049.500,926.500,42
42,1706.500,944.500,47
43,113.500,794.500,47
44,134.500,641.500,47
45,1112.500,776.500,51
46,1016.500,620.500,51
47,1856.500,818.500,58
48,1820.500,674.500,61
49,1833.000,1416.000,34
50,1103.500,1349.500,39
51,209.500,1400.500,46
52,1367.500,1010.500,46
53,1712.500,1037.500,54
54,245.500,1022.500,65
55,1298.500,806.500,65
56,1958.500,872.500,67
57,239.500,839.500,79
58,1430.500,647.500,81
59,1934.500,722.500,82
60,248.500,671.500,90
61,54.000,1239.000,49
62,1337.500,1223.500,66
63,1889.500,1259.500,78
64,104.500,1028.500,67
65,146.500,899.500,63
66,128.500,779.500,63
67,1193.500,836.500,64
68,1943.500,764.500,64
69,1889.500,926.500,70
70,1865.500,1088.500,76
71,1031.500,935.500,80
72,1124.500,1019.500,83
73,54.000,1260.000,7
74,1265.500,1232.500,7
75,1928.500,1334.500,7
76,146.500,938.500,27
77,1136.500,920.500,27
78,1925.500,1019.500,27
79,1919.500,872.500,27
80,95.500,767.500,27
81,1034.500,767.500,30
82,65.500,617.500,26
83,1130.500,635.500,30
84,1928.500,704.500,27
85,1863.000,1293.000,10
86,1109.500,1214.500,10
87,161.500,1289.500,12
88,1907.500,956.500,17
89,1013.500,914.500,23
90,116.500,947.500,34
91,1124.500,737.500,29
92,1868.500,782.500,26
93,101.500,809.500,38
94,1082.500,611.500,34
95,1919.500,647.500,32
96,149.500,656.500,43
97,1950.000,1203.000,37
98,923.500,1172.500,37
99,98.500,1226.500,37
100,122.500,983.500,43
101,1034.500,947.500,43
102,1943.500,971.500,43
103,1919.500,857.500,43
104,917.500,827.500,39
105,143.500,827.500,36
106,128.500,746.500,33
107,992.500,701.500,33
108,1931.500,776.500,33
109,27.000,1413.000,30
110,1214.500,1310.500,30
111,1970.500,1418.500,30
112,107.500,1085.500,13
113,1109.500,998.500,19
114,1922.500,1082.500,19
115,140.500,932.500,27
116,1088.500,815.500,27
117,1907.500,935.500,30
118,134.500,779.500,41
119,1115.500,713.500,41
120,2027.500,791.500,41
121,2001.000,1476.000,67
122,956.500,1433.500,67
123,5.500,1481.500,67
124,194.500,1118.500,15
125,1085.500,1061.500,20
126,1895.500,1100.500,25
127,863.500,1232.500,29
128,86.500,1271.500,29
129,1958.500,1169.500,29
130,137.500,1343.500,41
131,884.500,1298.500,41
132,1919.500,1259.500,41
133,1917.000,1146.000,54
134,1019.500,1145.500,60
135,122.500,1112.500,60
136,1958.500,821.500,48
137,1919.500,677.500,45
138,1874.500,536.500,40
139,1058.500,833.500,94
140,1049.500,665.500,94
141,1016.500,575.500,94
142,65.500,854.500,112
143,80.500,719.500,112
144,83.500,617.500,112
145,6.000,1461.000,88
146,1043.500,1463.500,88
147,1949.500,1472.500,88
148,203.500,1085.500,33
149,932.500,1139.500,33
150,1829.500,1166.500,33
151,140.500,1214.500,52
152,926.500,1238.500,52
153,1838.500,1280.500,52
154,194.500,1310.500,64
155,1007.500,1319.500,64
156,1910.500,1379.500,69
