 ,X,Y,Slice
1,57.000,1227.000,9
2,854.500,1115.500,9
3,1865.500,1163.500,9
4,1850.500,821.500,10
5,1886.500,683.500,10
6,1898.500,548.500,10
7,1079.500,857.500,17
8,1076.500,671.500,17
9,1100.500,536.500,17
10,95.500,896.500,27
11,77.500,749.500,27
12,98.500,581.500,27
13,78.000,1275.000,11
14,902.500,1187.500,11
15,1817.500,1319.500,11
16,1931.500,1034.500,21
17,1052.500,908.500,21
18,104.500,974.500,21
19,107.500,809.500,21
20,155.500,677.500,22
21,812.500,731.500,30
22,851.500,581.500,30
23,1898.500,878.500,33
24,1835.500,683.500,38
