 ,X,Y,Slice
1,72.000,1233.000,13
2,1094.500,1157.500,17
3,1838.500,1223.500,23
4,95.500,902.500,50
5,1049.500,857.500,45
6,1814.500,893.500,49
7,116.500,746.500,49
8,146.500,572.500,52
9,995.500,692.500,52
10,1025.500,542.500,54
11,1763.500,710.500,55
12,1760.500,572.500,59
13,1917.000,1473.000,16
14,1145.500,1319.500,16
15,146.500,1421.500,16
16,1844.500,1085.500,35
17,1796.500,896.500,35
18,1862.500,779.500,32
19,974.500,704.500,29
20,1076.500,893.500,41
21,1049.500,1091.500,41
22,101.500,782.500,51
23,137.500,992.500,51
24,89.500,665.500,47
25,921.000,1137.000,25
26,1862.500,1256.500,32
27,113.500,1250.500,35
28,89.500,911.500,9
29,923.500,824.500,12
30,1889.500,872.500,14
31,62.500,749.500,14
32,965.500,671.500,18
33,1877.500,707.500,22
34,92.500,569.500,21
35,1073.500,563.500,21
36,1859.500,557.500,23
37,63.000,1302.000,6
38,989.500,1196.500,6
39,1898.500,1274.500,6
40,65.500,950.500,18
41,1043.500,869.500,30
42,1898.500,935.500,38
43,152.500,755.500,34
44,137.500,605.500,37
45,998.500,746.500,42
46,944.500,584.500,42
47,1904.500,791.500,49
48,1892.500,593.500,49
49,1965.000,1284.000,12
50,1079.500,1193.500,12
51,92.500,1295.500,12
52,1838.500,917.500,14
53,1130.500,884.500,14
54,149.500,989.500,14
55,1889.500,758.500,16
56,1076.500,671.500,16
57,68.500,743.500,16
58,1814.500,569.500,18
59,1049.500,524.500,18
60,119.500,560.500,18
61,72.000,1311.000,11
62,878.500,1268.500,11
63,1859.500,1403.500,11
64,719.500,953.500,16
65,128.500,962.500,19
66,1874.500,1004.500,25
67,926.500,782.500,21
68,110.500,740.500,19
69,1856.500,863.500,25
70,971.500,608.500,11
71,83.500,593.500,8
72,1934.500,656.500,18
73,63.000,1257.000,14
74,719.500,1142.500,14
75,1919.500,1160.500,14
76,1847.500,851.500,20
77,1013.500,875.500,20
78,149.500,890.500,25
79,1937.500,758.500,32
80,914.500,677.500,32
81,167.500,758.500,32
82,770.500,557.500,49
83,137.500,596.500,49
84,1835.500,515.500,49
85,1950.000,1338.000,63
86,869.500,1259.500,63
87,71.500,1247.500,63
88,1931.500,914.500,25
89,980.500,896.500,25
90,146.500,851.500,25
91,1937.500,1025.500,40
92,1019.500,968.500,40
93,176.500,995.500,40
94,1892.500,1091.500,45
95,1043.500,1067.500,45
96,149.500,1040.500,45
97,72.000,1368.000,14
98,998.500,1352.500,19
99,1919.500,1460.500,27
100,857.500,1082.500,25
101,1934.500,1172.500,38
102,119.500,1079.500,38
103,896.500,908.500,38
104,1919.500,983.500,45
105,185.500,905.500,50
106,1004.500,794.500,44
107,1943.500,836.500,50
108,185.500,773.500,52
109,78.000,1278.000,8
110,1064.500,1160.500,8
111,1925.500,1196.500,8
112,95.500,899.500,27
113,1097.500,803.500,27
114,1961.500,680.500,27
115,1967.500,497.500,29
116,959.500,626.500,29
117,107.500,683.500,29
118,158.500,542.500,33
119,1301.500,464.500,33
120,1874.500,335.500,33
121,1953.000,1422.000,27
122,1010.500,1394.500,27
123,41.500,1442.500,31
124,1901.500,1199.500,16
125,953.500,1163.500,16
126,119.500,1202.500,18
127,1814.500,1070.500,19
128,713.500,1022.500,19
129,155.500,1121.500,19
130,1865.500,995.500,21
131,908.500,929.500,21
132,50.500,1019.500,21
