 ,X,Y,Slice
1,1896.000,1287.000,17
2,959.500,1265.500,21
3,140.500,1343.500,26
4,1742.500,1007.500,21
5,1841.500,773.500,21
6,1832.500,908.500,21
7,1067.500,872.500,24
8,1088.500,980.500,24
9,1067.500,749.500,24
10,149.500,1019.500,30
11,95.500,878.500,30
12,95.500,806.500,30
13,990.000,1023.000,20
14,1874.500,1121.500,39
15,173.500,1109.500,39
16,779.500,755.500,41
17,197.500,845.500,52
18,185.500,698.500,52
19,167.500,554.500,56
20,941.500,536.500,51
21,1820.500,836.500,58
22,1925.500,719.500,58
23,1937.500,602.500,58
24,1004.500,638.500,48
