 ,X,Y,Slice
1,1842.000,1245.000,19
2,1172.500,1193.500,24
3,197.500,1238.500,52
4,1925.500,974.500,38
5,1100.500,911.500,40
6,65.500,938.500,56
7,1826.500,791.500,24
8,1049.500,728.500,33
9,89.500,743.500,39
10,1802.500,641.500,20
11,944.500,539.500,26
12,86.500,578.500,36
13,45.000,1188.000,10
14,1037.500,1208.500,10
15,1979.500,1274.500,10
16,32.500,890.500,42
17,1001.500,911.500,42
18,1967.500,929.500,45
19,1907.500,773.500,45
20,977.500,737.500,45
21,11.500,707.500,45
22,74.500,557.500,45
23,1004.500,626.500,45
24,2012.500,641.500,45
25,75.000,1389.000,24
26,995.500,1274.500,30
27,131.500,743.500,16
28,995.500,746.500,16
29,1943.500,695.500,13
30,83.500,929.500,19
31,950.500,842.500,19
32,1907.500,902.500,26
33,134.500,1064.500,33
34,1004.500,998.500,33
35,1901.500,1037.500,44
36,1886.500,1265.500,35
