 ,X,Y,Slice
1,93.000,1116.000,21
2,977.500,1022.500,19
3,1925.500,1136.500,22
4,1985.500,812.500,28
5,995.500,719.500,24
6,44.500,821.500,21
7,83.500,635.500,27
8,128.500,467.500,29
9,923.500,575.500,33
10,1934.500,623.500,36
11,1904.500,470.500,36
12,1049.500,380.500,39
13,51.000,1092.000,8
14,1025.500,1061.500,8
15,1943.500,1127.500,8
16,110.500,869.500,35
17,1142.500,830.500,40
18,1910.500,905.500,44
19,239.500,725.500,44
20,1025.500,719.500,45
21,1889.500,815.500,46
22,224.500,623.500,42
23,1019.500,632.500,42
24,1949.500,692.500,44
25,1944.000,1110.000,12
26,1205.500,1145.500,12
27,170.500,1214.500,12
28,143.500,647.500,12
29,1160.500,536.500,12
30,1871.500,545.500,14
31,1916.500,698.500,15
32,887.500,731.500,15
33,170.500,767.500,15
34,125.500,908.500,18
35,1100.500,833.500,18
36,1901.500,830.500,18
37,1929.000,1203.000,41
38,1112.500,1154.500,42
39,131.500,1190.500,50
40,203.500,878.500,91
41,1091.500,839.500,77
42,1928.500,884.500,59
43,125.500,713.500,61
44,1055.500,677.500,58
45,1928.500,713.500,41
46,1991.500,608.500,31
47,1130.500,587.500,40
48,215.500,647.500,55
49,1929.000,1383.000,9
50,1094.500,1337.500,9
51,104.500,1358.500,9
52,98.500,1001.500,29
53,1010.500,1007.500,29
54,1889.500,1067.500,29
55,1994.500,860.500,29
56,1010.500,881.500,29
57,62.500,839.500,29
58,107.500,668.500,29
59,1019.500,671.500,29
60,1913.500,692.500,29
61,96.000,1305.000,21
62,1157.500,1325.500,23
63,1952.500,1382.500,35
64,839.500,989.500,43
65,113.500,986.500,53
66,1937.500,1112.500,55
67,1919.500,914.500,56
68,929.500,797.500,56
69,986.500,668.500,64
70,1964.500,779.500,64
71,62.500,833.500,67
72,83.500,668.500,72
73,156.000,795.000,22
74,209.500,614.500,12
75,1052.500,566.500,35
76,1925.500,530.500,35
77,1961.500,713.500,35
78,941.500,737.500,35
79,1979.500,920.500,35
80,122.500,986.500,28
81,1142.500,917.500,41
82,1946.500,1358.500,62
83,1064.500,1316.500,68
84,173.500,1361.500,81
85,105.000,1188.000,66
86,995.500,1157.500,59
87,1943.500,1199.500,54
88,1814.500,635.500,51
89,998.500,611.500,63
90,143.500,593.500,85
91,98.500,965.500,85
92,977.500,935.500,85
93,1934.500,995.500,85
94,1895.500,857.500,65
95,1037.500,848.500,65
96,83.500,839.500,75
