 ,X,Y,Slice
1,114.000,1188.000,25
2,1124.500,1094.500,25
3,1943.500,1142.500,25
4,1910.500,776.500,59
5,1979.500,602.500,56
6,1961.500,446.500,48
7,1013.500,821.500,66
8,1064.500,638.500,66
9,1133.500,473.500,66
10,128.500,884.500,72
11,122.500,707.500,72
12,89.500,500.500,73
13,60.000,1167.000,9
14,1043.500,1133.500,9
15,1928.500,1136.500,9
16,107.500,761.500,20
17,992.500,746.500,20
18,1931.500,812.500,20
19,68.500,602.500,22
20,971.500,602.500,22
21,1901.500,620.500,22
22,56.500,470.500,16
23,944.500,434.500,16
24,1895.500,452.500,16
25,51.000,1233.000,12
26,1145.500,1121.500,12
27,1958.500,1220.500,12
28,1094.500,848.500,47
29,1865.500,866.500,50
30,257.500,821.500,34
31,296.500,653.500,43
32,1220.500,617.500,51
33,1949.500,698.500,56
34,1964.500,470.500,53
35,1085.500,443.500,50
36,350.500,434.500,39
