 ,X,Y,Slice
1,78.000,1272.000,12
2,1031.500,1124.500,12
3,1970.500,1163.500,12
4,1913.500,911.500,74
5,1106.500,866.500,74
6,98.500,926.500,74
7,1934.500,722.500,96
8,1022.500,692.500,96
9,56.500,785.500,96
10,152.500,641.500,104
11,914.500,548.500,104
12,1913.500,569.500,104
13,96.000,1290.000,54
14,1109.500,1091.500,54
15,1985.500,1172.500,54
16,71.500,908.500,88
17,140.500,722.500,88
18,56.500,605.500,83
19,953.500,755.500,97
20,1007.500,611.500,100
21,974.500,449.500,100
22,1883.500,611.500,108
23,1916.500,800.500,114
24,1943.500,464.500,108
25,60.000,1311.000,14
26,1004.500,1304.500,21
27,1913.500,1301.500,29
28,95.500,1010.500,25
29,1100.500,1010.500,29
30,1982.500,1031.500,35
31,209.500,866.500,24
32,1862.500,902.500,25
33,980.500,869.500,27
34,128.500,797.500,22
35,1193.500,749.500,24
36,1883.500,785.500,25
37,69.000,1356.000,12
38,1277.500,1160.500,12
39,1934.500,1241.500,12
40,146.500,1001.500,35
41,1244.500,860.500,35
42,2000.500,938.500,35
43,1976.500,773.500,39
44,1208.500,686.500,39
45,50.500,812.500,39
46,89.500,635.500,37
47,1094.500,509.500,37
48,1922.500,587.500,37
49,45.000,1308.000,103
50,944.500,1226.500,103
51,1979.500,1316.500,103
52,1955.500,809.500,103
53,1115.500,761.500,103
54,65.500,713.500,103
55,77.500,896.500,101
56,1160.500,893.500,101
57,1985.500,974.500,101
58,1961.500,635.500,104
59,1016.500,563.500,104
60,98.500,569.500,104
61,60.000,1188.000,7
62,1115.500,1181.500,7
63,1952.500,1235.500,7
64,98.500,614.500,8
65,917.500,560.500,10
66,140.500,722.500,10
67,953.500,674.500,10
68,980.500,836.500,15
69,212.500,860.500,19
70,1937.500,725.500,10
71,185.500,872.500,15
72,1976.500,905.500,15
