 ,X,Y,Slice
1,141.000,1194.000,25
2,956.500,1187.500,25
3,1883.500,1265.500,23
4,1982.500,983.500,65
5,1022.500,872.500,65
6,134.500,878.500,65
7,68.500,725.500,63
8,1127.500,767.500,63
9,1964.500,818.500,63
10,1964.500,695.500,58
11,1019.500,647.500,58
12,98.500,584.500,58
13,1962.000,1419.000,10
14,1187.500,1343.500,10
15,143.500,1364.500,10
16,113.500,1031.500,11
17,1049.500,1016.500,11
18,1922.500,1130.500,11
19,1982.500,932.500,11
20,986.500,839.500,11
21,65.500,824.500,11
22,77.500,656.500,11
23,1091.500,647.500,11
24,1964.500,677.500,11
25,48.000,1398.000,27
26,962.500,1373.500,27
27,1931.500,1433.500,27
28,113.500,881.500,31
29,1130.500,875.500,38
30,1931.500,887.500,43
31,65.500,992.500,43
32,950.500,950.500,43
33,56.500,1121.500,43
34,1070.500,1112.500,44
35,1934.500,977.500,50
36,1871.500,1109.500,55
37,99.000,1428.000,8
38,956.500,1352.500,8
39,1952.500,1460.500,8
40,1970.500,1106.500,8
41,1046.500,1016.500,8
42,143.500,1070.500,9
43,95.500,893.500,9
44,1109.500,803.500,9
45,1952.500,914.500,9
46,1946.500,704.500,9
47,1043.500,626.500,9
48,59.500,704.500,9
49,1956.000,1194.000,1
50,1136.500,1127.500,1
51,173.500,1205.500,3
52,1919.500,929.500,21
53,926.500,920.500,21
54,125.500,962.500,27
55,98.500,848.500,31
56,1058.500,773.500,27
57,1874.500,806.500,21
58,1877.500,725.500,19
59,1013.500,668.500,21
60,65.500,734.500,26
61,123.000,1212.000,8
62,839.500,1085.500,8
63,1934.500,1205.500,8
64,35.500,863.500,27
65,905.500,803.500,27
66,1982.500,914.500,27
67,1976.500,725.500,29
68,968.500,629.500,29
69,62.500,677.500,29
70,1985.500,578.500,31
71,1034.500,467.500,31
72,59.500,533.500,32
73,48.000,1188.000,6
74,1031.500,1091.500,6
75,1925.500,1133.500,6
76,1982.500,878.500,25
77,1022.500,842.500,25
78,77.500,857.500,25
79,92.500,731.500,27
80,1052.500,707.500,27
81,1943.500,716.500,27
82,1943.500,605.500,29
83,1001.500,569.500,29
84,59.500,590.500,29
85,1986.000,1122.000,42
86,1049.500,1139.500,42
87,92.500,1211.500,49
88,1913.500,842.500,46
89,914.500,881.500,34
90,128.500,980.500,32
91,1850.500,746.500,29
92,968.500,773.500,26
93,143.500,881.500,22
94,1937.500,659.500,17
95,1010.500,671.500,15
96,158.500,758.500,13
97,1896.000,1428.000,14
98,1151.500,1310.500,14
99,179.500,1343.500,25
100,1955.500,929.500,13
101,1232.500,770.500,13
102,161.500,896.500,18
103,89.500,659.500,20
104,1418.500,608.500,20
105,1991.500,752.500,20
106,1976.500,875.500,19
107,1292.500,701.500,19
108,191.500,752.500,19
109,1863.000,1191.000,22
110,1055.500,1124.500,22
111,71.500,1220.500,22
112,110.500,881.500,50
113,1100.500,809.500,50
114,1964.500,872.500,50
115,1922.500,692.500,53
116,1052.500,617.500,53
117,38.500,689.500,53
118,101.500,518.500,55
119,995.500,455.500,55
120,1835.500,470.500,55
121,1965.000,1257.000,37
122,1160.500,1151.500,37
123,38.500,1238.500,37
124,50.500,890.500,41
125,101.500,722.500,53
126,62.500,554.500,50
127,1073.500,830.500,53
128,1049.500,536.500,63
129,1091.500,650.500,66
130,1931.500,746.500,76
131,1886.500,602.500,77
132,1955.500,920.500,69
133,75.000,1233.000,11
134,1049.500,1190.500,11
135,1844.500,1238.500,12
136,1967.500,1004.500,12
137,1019.500,971.500,15
138,155.500,899.500,22
139,161.500,725.500,18
140,1034.500,746.500,15
141,1925.500,821.500,11
142,1928.500,683.500,8
143,1007.500,602.500,8
144,128.500,605.500,11
