 ,X,Y,Slice
1,48.000,1287.000,87
2,950.500,1232.500,111
3,1865.500,1145.500,144
4,65.500,614.500,10
5,62.500,821.500,14
6,68.500,1040.500,41
7,992.500,644.500,47
8,971.500,803.500,56
9,941.500,914.500,80
10,1976.500,695.500,110
11,1988.500,800.500,115
12,1970.500,896.500,141
13,48.000,1275.000,16
14,1049.500,1205.500,16
15,2003.500,1280.500,16
16,71.500,917.500,41
17,1055.500,863.500,41
18,2000.500,911.500,41
19,65.500,728.500,57
20,974.500,647.500,57
21,1979.500,731.500,57
22,104.500,581.500,63
23,854.500,515.500,63
24,1958.500,563.500,63
25,1050.000,1263.000,34
26,1904.500,1280.500,53
27,140.500,1295.500,61
28,1094.500,851.500,42
29,1040.500,674.500,42
30,1034.500,494.500,42
31,1964.500,941.500,54
32,1976.500,842.500,54
33,1940.500,488.500,54
34,92.500,548.500,66
35,92.500,770.500,66
36,80.500,938.500,66
37,1992.000,1338.000,51
38,1115.500,1271.500,58
39,80.500,1262.500,80
40,146.500,1070.500,64
41,1082.500,1052.500,55
42,1877.500,1070.500,48
43,74.500,971.500,48
44,992.500,920.500,45
45,1940.500,968.500,41
46,35.500,770.500,21
47,1037.500,692.500,21
48,1910.500,794.500,21
