 ,X,Y,Slice
1,48.000,1212.000,19
2,821.500,1145.500,19
3,1913.500,1244.500,19
4,107.500,875.500,68
5,986.500,824.500,74
6,194.500,674.500,79
7,1901.500,896.500,81
8,1214.500,644.500,87
9,1988.500,758.500,93
10,122.500,497.500,93
11,1097.500,485.500,97
12,1955.500,557.500,105
13,141.000,1383.000,34
14,1085.500,1331.500,41
15,1898.500,1343.500,42
16,71.500,1112.500,42
17,119.500,989.500,42
18,86.500,743.500,42
19,1067.500,743.500,42
20,1970.500,737.500,42
21,2009.500,968.500,42
22,1013.500,977.500,42
23,1007.500,1076.500,47
24,1934.500,1082.500,48
25,15.000,1335.000,28
26,941.500,1238.500,28
27,1964.500,1241.500,28
28,77.500,971.500,41
29,1019.500,878.500,41
30,1907.500,938.500,41
31,86.500,773.500,43
32,1004.500,737.500,43
33,1928.500,755.500,45
34,77.500,653.500,46
35,758.500,590.500,46
36,1958.500,599.500,49
37,93.000,1152.000,5
38,1118.500,1100.500,5
39,1964.500,1178.500,5
40,113.500,626.500,6
41,737.500,500.500,6
42,1961.500,602.500,6
43,1976.500,758.500,6
44,902.500,659.500,6
45,104.500,734.500,6
46,107.500,884.500,15
47,776.500,752.500,15
48,1976.500,881.500,15
49,42.000,1137.000,21
50,893.500,1127.500,21
51,1898.500,1127.500,20
52,1970.500,818.500,56
53,947.500,797.500,56
54,95.500,851.500,59
55,1895.500,671.500,61
56,854.500,665.500,61
57,92.500,713.500,61
58,1910.500,557.500,63
59,989.500,557.500,63
60,113.500,554.500,68
61,66.000,1344.000,8
62,1013.500,1259.500,8
63,1940.500,1400.500,8
64,47.500,1031.500,14
65,1121.500,1004.500,14
66,1916.500,1067.500,14
67,62.500,752.500,17
68,1055.500,746.500,17
69,1931.500,845.500,19
70,65.500,875.500,18
71,1001.500,851.500,19
72,1922.500,947.500,20
