 ,X,Y,Slice
1,24.000,1182.000,14
2,779.500,1136.500,14
3,1814.500,1193.500,14
4,1970.500,935.500,27
5,1031.500,857.500,27
6,122.500,857.500,27
7,1937.500,734.500,35
8,932.500,707.500,35
9,98.500,704.500,35
10,125.500,572.500,40
11,896.500,524.500,40
12,1844.500,524.500,40
13,63.000,1359.000,26
14,1037.500,1286.500,26
15,1895.500,1412.500,26
16,68.500,1001.500,31
17,1025.500,974.500,33
18,2015.500,1109.500,33
19,1928.500,953.500,36
20,152.500,836.500,38
21,1112.500,809.500,43
22,1979.500,782.500,43
23,119.500,701.500,43
24,1076.500,671.500,48
