 ,X,Y,Slice
1,1899.000,1227.000,12
2,1082.500,1160.500,16
3,203.500,1211.500,21
4,2000.500,962.500,52
5,1040.500,905.500,56
6,59.500,968.500,63
7,2009.500,803.500,48
8,1115.500,758.500,53
9,53.500,842.500,67
10,1985.500,665.500,48
11,1064.500,632.500,51
12,47.500,710.500,64
13,90.000,1335.000,22
14,1124.500,1316.500,25
15,1964.500,1334.500,31
16,104.500,1085.500,53
17,1115.500,1052.500,58
18,1970.500,1106.500,64
19,200.500,953.500,55
20,1064.500,938.500,59
21,1964.500,962.500,72
22,128.500,875.500,53
23,1112.500,833.500,60
24,1934.500,896.500,67
25,27.000,1209.000,18
26,974.500,1235.500,18
27,2003.500,1304.500,18
28,242.500,1091.500,23
29,1136.500,1076.500,20
30,1955.500,1121.500,21
31,134.500,968.500,32
32,1184.500,959.500,23
33,1928.500,1010.500,21
34,212.500,800.500,29
35,1133.500,827.500,27
36,1934.500,890.500,30
37,315.000,1374.000,14
38,1325.500,1316.500,16
39,1949.500,1370.500,20
40,1958.500,848.500,11
41,1211.500,815.500,23
42,1973.500,1010.500,19
43,1961.500,1157.500,30
44,1058.500,965.500,29
45,1070.500,1103.500,32
46,122.500,905.500,48
47,80.500,1040.500,41
48,50.500,1139.500,33
