 ,X,Y,Slice
1,69.000,1347.000,15
2,887.500,1250.500,15
3,1940.500,1334.500,19
4,41.500,914.500,15
5,905.500,761.500,15
6,1940.500,860.500,17
7,104.500,728.500,14
8,959.500,599.500,14
9,1895.500,749.500,14
10,1991.500,596.500,14
11,830.500,437.500,14
12,101.500,566.500,14
13,75.000,1395.000,30
14,1019.500,1367.500,30
15,1913.500,1448.500,30
16,74.500,1043.500,45
17,1037.500,968.500,45
18,1955.500,1076.500,45
19,2003.500,953.500,45
20,1004.500,806.500,45
21,74.500,851.500,45
22,1973.500,779.500,39
23,983.500,650.500,39
24,86.500,665.500,39
25,1965.000,1395.000,6
26,1070.500,1331.500,6
27,68.500,1310.500,6
28,1979.500,1037.500,11
29,1037.500,944.500,11
30,122.500,950.500,11
31,113.500,770.500,13
32,1031.500,755.500,13
33,1982.500,833.500,13
34,1952.500,683.500,11
35,1064.500,596.500,11
36,170.500,614.500,11
