 ,X,Y,Slice
1,63.000,1308.000,7
2,1136.500,1232.500,7
3,2003.500,1304.500,7
4,71.500,785.500,7
5,1028.500,722.500,7
6,1889.500,689.500,7
7,122.500,1052.500,19
8,920.500,998.500,19
9,1913.500,1010.500,19
10,89.500,911.500,18
11,899.500,836.500,18
12,1985.500,866.500,18
13,81.000,1071.000,5
14,983.500,1001.500,5
15,1973.500,1157.500,5
16,89.500,638.500,6
17,1070.500,590.500,6
18,2015.500,770.500,6
19,77.500,794.500,7
20,1067.500,740.500,7
21,1982.500,932.500,7
22,71.500,443.500,5
23,1121.500,374.500,5
24,1970.500,548.500,5
25,87.000,1323.000,8
26,1034.500,1241.500,8
27,1988.500,1376.500,8
28,38.500,584.500,8
29,1082.500,548.500,8
30,1994.500,554.500,8
31,2000.500,725.500,8
32,953.500,695.500,8
33,68.500,716.500,8
34,50.500,950.500,8
35,1016.500,884.500,8
36,2021.500,935.500,8
37,75.000,1299.000,8
38,1022.500,1274.500,8
39,1931.500,1307.500,8
40,116.500,947.500,16
41,998.500,950.500,20
42,77.500,821.500,21
43,1973.500,992.500,27
44,137.500,665.500,27
45,1085.500,791.500,37
46,986.500,647.500,45
47,1928.500,824.500,45
48,1970.500,692.500,59
49,1902.000,1185.000,10
50,1100.500,1118.500,12
51,179.500,1157.500,20
52,1985.500,872.500,37
53,1997.500,683.500,40
54,998.500,773.500,41
55,1952.500,524.500,43
56,1091.500,593.500,45
57,95.500,809.500,47
58,26.500,635.500,48
59,89.500,467.500,49
60,833.500,404.500,56
61,90.000,1524.000,12
62,968.500,1469.500,12
63,1961.500,1565.500,12
64,59.500,1175.500,12
65,944.500,1142.500,12
66,1940.500,1235.500,12
67,1970.500,1052.500,12
68,968.500,965.500,12
69,71.500,992.500,12
70,65.500,851.500,12
71,968.500,755.500,12
72,1970.500,860.500,12
73,1980.000,1518.000,30
74,1046.500,1415.500,41
75,62.500,1340.500,57
76,1976.500,1262.500,70
77,1007.500,1157.500,75
78,83.500,1127.500,81
79,1976.500,1100.500,67
80,1157.500,980.500,67
81,47.500,923.500,67
82,74.500,659.500,46
83,944.500,653.500,46
84,1874.500,761.500,46
85,57.000,1221.000,9
86,821.500,1103.500,9
87,1982.500,1199.500,9
88,1967.500,659.500,9
89,992.500,557.500,9
90,71.500,593.500,9
91,62.500,482.500,8
92,908.500,437.500,8
93,1961.500,479.500,8
94,1985.500,836.500,10
95,899.500,779.500,10
96,68.500,785.500,10
