 ,X,Y,Slice
1,42.000,642.000,27
2,830.500,635.500,27
3,1958.500,650.500,27
4,2003.500,845.500,35
5,1001.500,782.500,35
6,83.500,800.500,35
7,1958.500,1043.500,78
8,1022.500,1001.500,75
9,188.500,983.500,68
10,23.500,1157.500,100
11,794.500,1148.500,100
12,1970.500,1178.500,100
13,399.000,1416.000,53
14,1487.500,1460.500,60
15,1952.500,1376.500,69
16,1427.500,1088.500,17
17,1475.500,989.500,23
18,1523.500,845.500,30
19,2006.500,995.500,30
20,1985.500,1106.500,34
21,1994.500,1184.500,39
22,338.500,974.500,53
23,383.500,1064.500,53
24,383.500,1178.500,53
25,18.000,1191.000,24
26,956.500,1139.500,24
27,1976.500,1142.500,24
28,1973.500,878.500,53
29,1010.500,830.500,53
30,86.500,896.500,54
31,740.500,692.500,73
32,56.500,722.500,76
33,1937.500,710.500,76
34,890.500,542.500,80
35,62.500,596.500,83
36,1976.500,575.500,89
37,39.000,1257.000,23
38,1010.500,1163.500,23
39,2003.500,1187.500,23
40,32.500,689.500,54
41,971.500,635.500,57
42,1985.500,662.500,59
43,77.500,824.500,56
44,992.500,782.500,59
45,1949.500,800.500,62
46,65.500,974.500,57
47,983.500,854.500,60
48,1979.500,899.500,62
49,27.000,1356.000,18
50,938.500,1346.500,18
51,1982.500,1349.500,18
52,1955.500,1103.500,15
53,1148.500,1076.500,16
54,62.500,1130.500,22
55,1988.500,1019.500,11
56,1196.500,1010.500,16
57,92.500,1022.500,23
58,1964.500,923.500,15
59,1196.500,902.500,20
60,47.500,914.500,24
61,48.000,1368.000,22
62,1001.500,1229.500,22
63,1979.500,1334.500,22
64,1970.500,1001.500,22
65,1862.500,824.500,20
66,1937.500,689.500,22
67,1082.500,833.500,22
68,1013.500,1025.500,22
69,1097.500,581.500,22
70,68.500,704.500,22
71,17.500,929.500,22
72,65.500,1061.500,22
73,45.000,1293.000,22
74,938.500,1259.500,22
75,2006.500,1358.500,22
76,1979.500,974.500,22
77,1052.500,893.500,22
78,71.500,917.500,22
79,1979.500,779.500,24
80,1037.500,722.500,24
81,44.500,728.500,24
82,1991.500,614.500,28
83,971.500,554.500,28
84,38.500,575.500,28
85,18.000,1305.000,15
86,920.500,1277.500,15
87,1865.500,1331.500,18
88,98.500,1070.500,21
89,1004.500,1031.500,21
90,89.500,989.500,23
91,1025.500,971.500,23
92,1973.500,1130.500,26
93,71.500,893.500,27
94,1004.500,845.500,27
95,1937.500,929.500,27
96,1946.500,1046.500,28
97,93.000,1221.000,29
98,101.500,1094.500,26
99,107.500,1001.500,24
100,983.500,884.500,38
101,971.500,995.500,40
102,950.500,1118.500,43
103,1958.500,848.500,53
104,1943.500,986.500,56
105,1943.500,1064.500,59
106,47.500,1457.500,43
107,962.500,1295.500,51
108,2003.500,1286.500,66
109,81.000,1365.000,29
110,896.500,1235.500,29
111,1970.500,1298.500,29
112,1631.500,971.500,45
113,941.500,965.500,54
114,101.500,1022.500,61
115,1700.500,836.500,57
116,1013.500,818.500,61
117,95.500,902.500,73
118,98.500,740.500,77
119,956.500,683.500,59
120,1820.500,686.500,52
121,126.000,1308.000,12
122,863.500,1193.500,12
123,1859.500,1295.500,12
124,194.500,875.500,27
125,1046.500,809.500,30
126,1874.500,908.500,43
127,1955.500,728.500,43
128,1922.500,548.500,43
129,1139.500,674.500,34
130,1178.500,464.500,34
131,278.500,689.500,20
132,179.500,509.500,13
133,60.000,1311.000,8
134,860.500,1253.500,8
135,1886.500,1364.500,8
136,65.500,746.500,9
137,911.500,704.500,9
138,1925.500,677.500,9
139,74.500,887.500,13
140,806.500,833.500,13
141,1916.500,839.500,13
142,80.500,1043.500,16
143,827.500,1007.500,16
144,1826.500,998.500,16
