 ,X,Y,Slice
1,45.000,1275.000,17
2,902.500,1256.500,17
3,1886.500,1295.500,17
4,50.500,977.500,21
5,1022.500,977.500,21
6,1907.500,1040.500,21
7,122.500,812.500,30
8,1052.500,827.500,30
9,1898.500,881.500,30
10,74.500,707.500,44
11,977.500,710.500,44
12,1856.500,776.500,44
13,57.000,1263.000,9
14,770.500,1220.500,9
15,1901.500,1310.500,9
16,68.500,944.500,9
17,113.500,755.500,9
18,104.500,632.500,11
19,890.500,779.500,11
20,932.500,638.500,11
21,932.500,929.500,11
22,1775.500,989.500,11
23,1841.500,842.500,11
24,1820.500,638.500,11
25,33.000,1269.000,5
26,872.500,1196.500,5
27,1820.500,1199.500,5
28,98.500,926.500,9
29,971.500,836.500,9
30,1859.500,833.500,9
31,1919.500,722.500,9
32,938.500,647.500,7
33,86.500,710.500,7
34,101.500,533.500,6
35,737.500,503.500,6
36,1844.500,497.500,6
37,48.000,1458.000,22
38,920.500,1376.500,22
39,1829.500,1403.500,22
40,152.500,1187.500,70
41,971.500,1163.500,63
42,1061.500,1013.500,62
43,1877.500,1145.500,41
44,1910.500,1031.500,36
45,1910.500,860.500,49
46,1082.500,821.500,54
47,146.500,992.500,87
48,137.500,836.500,89
49,1899.000,1212.000,11
50,1091.500,1205.500,15
51,44.500,1274.500,22
52,1916.500,902.500,37
53,983.500,878.500,39
54,116.500,959.500,44
55,1859.500,749.500,47
56,1049.500,737.500,47
57,1844.500,608.500,59
58,1118.500,617.500,59
59,176.500,779.500,65
60,185.500,608.500,68
61,69.000,1284.000,13
62,968.500,1217.500,13
63,1814.500,1259.500,13
64,101.500,1028.500,11
65,977.500,971.500,11
66,1838.500,1034.500,11
67,71.500,917.500,13
68,1031.500,881.500,13
69,1913.500,917.500,13
70,1847.500,845.500,15
71,899.500,788.500,15
72,44.500,827.500,15
73,1923.000,1269.000,13
74,1070.500,1190.500,13
75,98.500,1256.500,13
76,1922.500,587.500,43
77,1034.500,635.500,43
78,176.500,680.500,43
79,1829.500,818.500,49
80,1067.500,824.500,49
81,194.500,812.500,49
82,1922.500,935.500,50
83,929.500,917.500,50
84,185.500,866.500,50
85,864.000,1299.000,73
86,95.500,1316.500,65
87,1835.500,1400.500,57
88,1892.500,1121.500,42
89,1844.500,1007.500,36
90,1865.500,869.500,23
91,1181.500,803.500,45
92,1115.500,947.500,45
93,68.500,923.500,63
94,26.500,1052.500,63
95,110.500,776.500,48
96,791.500,1043.500,77
