 ,X,Y,Slice
1,96.000,1194.000,34
2,1031.500,1157.500,39
3,1877.500,1235.500,45
4,1940.500,959.500,49
5,968.500,848.500,45
6,80.500,896.500,40
7,188.500,752.500,52
8,71.500,641.500,54
9,950.500,605.500,59
10,1079.500,731.500,56
11,1907.500,785.500,59
12,1847.500,653.500,64
13,1971.000,1437.000,9
14,1226.500,1343.500,9
15,71.500,1424.500,9
16,74.500,1088.500,8
17,1061.500,1016.500,8
18,1985.500,1097.500,8
19,1931.500,935.500,8
20,1049.500,845.500,8
21,104.500,917.500,8
22,134.500,794.500,8
23,935.500,722.500,8
24,1919.500,773.500,8
25,1887.000,1281.000,13
26,923.500,1274.500,13
27,86.500,1283.500,13
28,1934.500,920.500,19
29,1094.500,872.500,19
30,101.500,902.500,19
31,101.500,770.500,19
32,1067.500,710.500,19
33,1904.500,743.500,19
34,1961.500,626.500,19
35,1211.500,572.500,19
36,86.500,602.500,19
