 ,X,Y,Slice
1,69.000,1293.000,143
2,1037.500,1268.500,143
3,1919.500,1343.500,143
4,995.500,1004.500,62
5,1751.500,941.500,70
6,239.500,1031.500,76
7,1808.500,782.500,64
8,983.500,803.500,59
9,146.500,818.500,55
10,1748.500,656.500,49
11,1028.500,626.500,44
12,209.500,629.500,39
13,30.000,1272.000,76
14,818.500,1256.500,76
15,1895.500,1280.500,76
16,86.500,1031.500,36
17,968.500,1034.500,48
18,1865.500,1049.500,54
19,1739.500,926.500,49
20,1073.500,875.500,47
21,437.500,884.500,36
22,317.500,740.500,23
23,1025.500,713.500,29
24,1901.500,758.500,34
25,1917.000,1233.000,7
26,920.500,1205.500,8
27,164.500,1244.500,11
28,1919.500,908.500,36
29,983.500,902.500,36
30,170.500,932.500,41
31,1865.500,755.500,39
32,1082.500,713.500,39
33,227.500,800.500,44
34,1838.500,605.500,29
35,1121.500,599.500,31
36,443.500,644.500,36
