 ,X,Y,Slice
1,36.000,1275.000,70
2,950.500,1232.500,70
3,1871.500,1223.500,70
4,1976.500,947.500,75
5,1055.500,920.500,66
6,149.500,968.500,51
7,80.500,830.500,43
8,995.500,779.500,53
9,1889.500,773.500,71
10,1955.500,599.500,81
11,1007.500,653.500,71
12,170.500,674.500,59
13,63.000,1266.000,10
14,797.500,1151.500,10
15,1793.500,1220.500,10
16,128.500,890.500,18
17,56.500,701.500,18
18,152.500,542.500,15
19,917.500,827.500,31
20,989.500,635.500,31
21,962.500,488.500,31
22,1934.500,851.500,41
23,1916.500,647.500,43
24,1913.500,494.500,45
25,1905.000,1353.000,29
26,896.500,1256.500,29
27,104.500,1229.500,28
28,179.500,797.500,30
29,902.500,812.500,30
30,1919.500,917.500,30
31,1817.500,1043.500,32
32,1019.500,959.500,32
33,113.500,965.500,32
34,170.500,665.500,32
35,1040.500,638.500,32
36,1940.500,746.500,32
37,90.000,1326.000,8
38,914.500,1238.500,8
39,1880.500,1301.500,8
40,1946.500,1055.500,10
41,941.500,962.500,10
42,53.500,1013.500,10
43,92.500,857.500,10
44,1004.500,800.500,10
45,1970.500,884.500,10
46,1970.500,758.500,10
47,950.500,659.500,10
48,116.500,749.500,10
