 ,X,Y,Slice
1,1962.000,1455.000,7
2,998.500,1400.500,7
3,5.500,1490.500,7
4,131.500,1274.500,6
5,1223.500,1082.500,6
6,1964.500,1199.500,6
7,1943.500,1079.500,6
8,1151.500,983.500,6
9,35.500,1202.500,6
10,80.500,1076.500,6
11,1073.500,869.500,6
12,1907.500,971.500,6
13,1965.000,1527.000,72
14,947.500,1430.500,72
15,35.500,1451.500,72
16,146.500,1016.500,23
17,1013.500,986.500,23
18,1940.500,1037.500,23
19,104.500,1166.500,34
20,917.500,1142.500,34
21,1967.500,1211.500,34
22,89.500,1217.500,43
23,1025.500,1190.500,47
24,1970.500,1253.500,47
25,1926.000,1251.000,6
26,902.500,1187.500,6
27,101.500,1229.500,6
28,1940.500,914.500,12
29,1301.500,839.500,12
30,245.500,857.500,12
31,1988.500,662.500,8
32,1058.500,692.500,8
33,251.500,722.500,8
34,1910.500,464.500,7
35,1025.500,509.500,7
36,311.500,497.500,7
37,57.000,1167.000,12
38,992.500,1181.500,12
39,1931.500,1262.500,12
40,1823.500,599.500,14
41,878.500,629.500,14
42,158.500,587.500,18
43,1880.500,749.500,20
44,1037.500,761.500,20
45,203.500,710.500,23
46,1928.500,920.500,26
47,1106.500,872.500,26
48,272.500,860.500,28
49,1959.000,1323.000,59
50,1541.500,1232.500,59
51,86.500,1373.500,59
52,1910.500,821.500,23
53,1100.500,869.500,30
54,170.500,1013.500,38
55,152.500,1130.500,44
56,1154.500,989.500,45
57,1976.500,929.500,45
58,1055.500,1100.500,49
59,104.500,1229.500,49
60,1928.500,1049.500,49
61,1929.000,1380.000,35
62,1187.500,1307.500,35
63,110.500,1349.500,35
64,1943.500,1025.500,64
65,1199.500,965.500,64
66,65.500,962.500,64
67,131.500,809.500,66
68,1190.500,761.500,66
69,1967.500,854.500,66
70,140.500,572.500,71
71,1055.500,599.500,72
72,1832.500,659.500,72
73,1944.000,1323.000,11
74,953.500,1316.500,11
75,53.500,1313.500,11
76,1913.500,1028.500,10
77,1835.500,833.500,10
78,1820.500,635.500,10
79,1196.500,698.500,14
80,1250.500,872.500,14
81,1298.500,1133.500,14
82,209.500,686.500,16
83,197.500,857.500,16
84,173.500,1043.500,16
85,57.000,1299.000,28
86,1154.500,1235.500,28
87,1904.500,1256.500,30
88,116.500,980.500,28
89,1103.500,950.500,28
90,1910.500,1040.500,28
91,1907.500,836.500,30
92,1112.500,761.500,30
93,143.500,839.500,30
94,2003.500,725.500,34
95,1064.500,695.500,34
96,77.500,689.500,34
97,75.000,1035.000,8
98,1127.500,1127.500,8
99,1928.500,1178.500,8
100,1856.500,869.500,9
101,992.500,788.500,9
102,128.500,770.500,9
103,197.500,650.500,10
104,1121.500,581.500,10
105,1847.500,713.500,10
106,1826.500,524.500,8
107,959.500,494.500,8
108,131.500,500.500,8
