 ,X,Y,Slice
1,45.000,1236.000,20
2,797.500,1181.500,20
3,1904.500,1274.500,24
4,152.500,941.500,36
5,188.500,782.500,39
6,77.500,686.500,45
7,1073.500,956.500,57
8,998.500,854.500,69
9,1013.500,788.500,82
10,2009.500,962.500,88
11,1979.500,1109.500,92
12,1976.500,1073.500,97
13,1926.000,1227.000,22
14,1103.500,1127.500,33
15,92.500,1154.500,37
16,1913.500,824.500,53
17,1154.500,761.500,68
18,80.500,788.500,75
19,1958.500,704.500,76
20,1091.500,578.500,90
21,119.500,614.500,97
22,1997.500,506.500,104
23,980.500,434.500,105
24,104.500,482.500,112
25,21.000,1164.000,49
26,1025.500,1079.500,49
27,1973.500,1133.500,49
28,80.500,953.500,8
29,1019.500,896.500,11
30,1979.500,944.500,13
31,89.500,1082.500,19
32,944.500,1025.500,23
33,1946.500,1055.500,26
34,56.500,1094.500,39
35,989.500,1016.500,39
36,1970.500,1070.500,39
37,33.000,1140.000,31
38,872.500,1166.500,31
39,2009.500,1175.500,31
40,1919.500,1034.500,27
41,1094.500,956.500,27
42,101.500,995.500,24
43,962.500,809.500,27
44,1913.500,863.500,25
45,206.500,836.500,21
46,992.500,647.500,21
47,1943.500,701.500,21
48,77.500,665.500,21
49,2028.000,1176.000,103
50,1478.500,1259.500,103
51,71.500,1172.500,103
52,1163.500,983.500,93
53,182.500,1022.500,83
54,1883.500,1016.500,83
55,1229.500,878.500,83
56,1226.500,734.500,79
57,1883.500,809.500,77
58,1976.500,914.500,77
59,200.500,905.500,67
60,149.500,803.500,61
61,1089.000,1107.000,126
62,1940.500,1130.500,131
63,221.500,1127.500,120
64,68.500,914.500,106
65,914.500,863.500,105
66,1748.500,893.500,100
67,974.500,785.500,91
68,1799.500,830.500,83
69,137.500,836.500,99
70,233.500,737.500,94
71,1031.500,704.500,84
72,1838.500,767.500,79
73,21.000,1452.000,58
74,959.500,1382.500,58
75,1955.500,1391.500,63
76,986.500,1109.500,51
77,917.500,980.500,49
78,1097.500,896.500,49
79,59.500,1202.500,53
80,59.500,968.500,53
81,68.500,1058.500,54
82,1928.500,1151.500,59
83,1940.500,1022.500,59
84,1940.500,1070.500,59
85,1980.000,1356.000,87
86,992.500,1253.500,87
87,50.500,1244.500,90
88,80.500,932.500,84
89,815.500,962.500,84
90,1952.500,1079.500,84
91,119.500,806.500,67
92,920.500,812.500,67
93,1862.500,953.500,63
94,167.500,653.500,63
95,944.500,719.500,57
96,1889.500,797.500,47
97,36.000,1239.000,6
98,980.500,1235.500,6
99,1922.500,1322.500,6
100,92.500,899.500,7
101,950.500,854.500,7
102,1907.500,965.500,7
103,1967.500,743.500,7
104,1028.500,692.500,7
105,77.500,686.500,7
106,122.500,554.500,8
107,1025.500,506.500,8
108,1904.500,557.500,8
109,1944.000,1224.000,6
110,1046.500,1133.500,13
111,62.500,1250.500,17
112,1787.500,899.500,37
113,1868.500,743.500,44
114,1883.500,605.500,43
115,1007.500,608.500,55
116,1019.500,794.500,55
117,1007.500,914.500,55
118,107.500,929.500,58
119,107.500,809.500,58
120,77.500,638.500,58
121,1905.000,1338.000,88
122,1070.500,1322.500,102
123,128.500,1304.500,131
124,1688.500,956.500,46
125,635.500,1037.500,59
126,98.500,1094.500,64
127,1940.500,779.500,40
128,911.500,818.500,38
129,176.500,950.500,33
130,1931.500,647.500,24
131,986.500,629.500,24
132,122.500,770.500,19
