 ,X,Y,Slice
1,1899.000,1389.000,9
2,971.500,1343.500,9
3,74.500,1430.500,9
4,92.500,734.500,5
5,1016.500,689.500,5
6,1943.500,716.500,5
7,1880.500,845.500,7
8,1055.500,848.500,7
9,71.500,860.500,7
10,104.500,1055.500,13
11,1064.500,998.500,13
12,1880.500,1010.500,13
13,1884.000,1365.000,18
14,1109.500,1346.500,35
15,242.500,1316.500,56
16,1784.500,995.500,38
17,1769.500,770.500,38
18,1856.500,650.500,38
19,1130.500,581.500,57
20,1163.500,731.500,57
21,1238.500,932.500,57
22,158.500,986.500,81
23,194.500,743.500,81
24,74.500,581.500,81
25,1854.000,1377.000,13
26,1157.500,1322.500,13
27,215.500,1298.500,13
28,179.500,707.500,30
29,986.500,653.500,36
30,167.500,995.500,40
31,1142.500,989.500,43
32,1103.500,881.500,43
33,1922.500,1103.500,49
34,1916.500,911.500,49
35,1886.500,776.500,49
36,158.500,884.500,37
37,39.000,1380.000,9
38,920.500,1322.500,9
39,1880.500,1367.500,9
40,104.500,1013.500,31
41,980.500,983.500,27
42,1844.500,1049.500,33
43,1028.500,824.500,33
44,977.500,638.500,40
45,1823.500,689.500,43
46,1829.500,902.500,43
47,113.500,848.500,48
48,89.500,671.500,48
49,156.000,1341.000,9
50,1025.500,1169.500,11
51,1871.500,1253.500,14
52,107.500,1082.500,9
53,878.500,1010.500,9
54,1793.500,1043.500,10
55,95.500,953.500,10
56,950.500,872.500,10
57,1760.500,908.500,10
58,110.500,845.500,8
59,1007.500,758.500,8
60,1958.500,776.500,8
61,1983.000,1458.000,112
62,1034.500,1355.500,112
63,98.500,1373.500,117
64,281.500,1007.500,117
65,107.500,845.500,117
66,74.500,668.500,117
67,1073.500,977.500,113
68,1046.500,818.500,105
69,959.500,647.500,94
70,1982.500,1067.500,89
71,1823.500,818.500,76
72,1829.500,689.500,60
73,87.000,1203.000,10
74,968.500,1220.500,10
75,1907.500,1229.500,10
76,1955.500,719.500,15
77,1130.500,656.500,15
78,305.500,677.500,20
79,1937.500,569.500,20
80,1088.500,530.500,20
81,275.500,524.500,20
82,1097.500,827.500,19
83,1853.500,908.500,19
84,350.500,821.500,19
