 ,X,Y,Slice
1,1977.000,1350.000,31
2,1136.500,1289.500,31
3,77.500,1274.500,37
4,1922.500,1004.500,68
5,1877.500,788.500,73
6,1874.500,647.500,73
7,1073.500,926.500,77
8,1001.500,713.500,77
9,965.500,557.500,77
10,140.500,956.500,77
11,44.500,761.500,77
12,86.500,599.500,77
13,1872.000,1329.000,7
14,995.500,1217.500,7
15,101.500,1238.500,7
16,110.500,872.500,26
17,1061.500,920.500,30
18,1913.500,983.500,30
19,140.500,689.500,34
20,134.500,530.500,34
21,1133.500,740.500,35
22,1070.500,584.500,35
23,1856.500,590.500,35
24,1958.500,752.500,35
25,81.000,1320.000,50
26,1022.500,1295.500,50
27,1952.500,1421.500,50
28,182.500,1019.500,46
29,1043.500,998.500,42
30,1829.500,1112.500,35
31,1874.500,1010.500,35
32,1130.500,902.500,35
33,131.500,917.500,44
34,74.500,740.500,47
35,941.500,752.500,39
36,1973.500,848.500,36
37,54.000,1428.000,10
38,899.500,1316.500,10
39,1886.500,1391.500,10
40,278.500,1085.500,9
41,989.500,1031.500,9
42,1814.500,1055.500,13
43,149.500,746.500,6
44,1049.500,710.500,10
45,1850.500,740.500,18
46,836.500,836.500,14
47,140.500,920.500,16
48,1721.500,860.500,22
49,18.000,1389.000,65
50,1118.500,1379.500,65
51,1937.500,1418.500,65
52,83.500,1013.500,21
53,1172.500,986.500,26
54,1916.500,1028.500,26
55,1982.500,1139.500,26
56,1040.500,1085.500,26
57,65.500,1106.500,26
58,1928.500,1250.500,32
59,1079.500,1181.500,32
60,77.500,1211.500,32
